Artist Name,Track Name,Popularity,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_in min/ms,time_signature,Class
Cage The Elephant,Skin and Bones,65.0,0.539,0.7879999999999999,-3.227,0,0.0396,0.0089,,0.29,0.35700000000000004,159.986,196173.0,4,10
Carusella,Star Quality,11.0,0.431,0.9670000000000001,-4.555,1,0.114,0.00159,0.0064,0.142,0.179,146.623,269440.0,4,6
Faith No More,Falling to Pieces,,0.545,0.919,-7.678999999999999,1,0.0483,0.0026899999999999997,0.00512,0.0978,0.386,104.36399999999999,313573.0,4,10
FLO,D's,66.0,0.266,0.294,-11.937999999999999,0,0.0291,0.7709999999999999,0.6970000000000001,0.107,0.0397,137.941,811077.0,3,9
Pathiena,The Deepest Of Sorrow,40.0,0.645,0.32899999999999996,-16.642,1,0.0419,0.239,0.892,0.375,0.184,128.099,3.545833333,4,0
The Offspring,Coming for You,59.0,0.508,0.912,-1.798,1,0.0827,9.75e-05,1.25e-06,0.0669,0.5329999999999999,139.381,228587.0,4,10
Pain of Salvation,Meaningless,42.0,0.579,0.6609999999999999,-4.011,1,0.0422,0.0675,0.000373,0.303,0.374,144.909,287467.0,3,10
Lenny Kravitz,Stand By My Woman,,0.521,0.527,-6.371,1,0.0296,0.0931,0.0244,0.106,0.273,122.271,259627.0,4,10
Black Sabbath,Paranoid,16.0,0.426,0.619,-11.501,0,0.0722,8.44e-05,0.0023899999999999998,0.17,0.382,162.721,2.80733333,4,10
The Dark Element,Songs the Night Sings,47.0,0.449,0.8540000000000001,-8.261000000000001,1,0.0431,4.6200000000000005e-05,0.016,0.24600000000000002,0.408,152.142,309827.0,4,8
Henry Gray,Let's Get High,19.0,0.698,0.609,-6.992999999999999,1,0.0485,0.743,,0.188,0.665,131.05700000000002,232413.0,4,2
Eyal Golan,טעיתי,38.0,0.54,0.425,-9.577,0,0.0518,0.428,,0.218,0.239,88.04700000000001,220543.0,4,9
Noah Kahan,Young Blood - Acoustic,59.0,0.691,0.231,-10.512,1,0.0471,0.815,,0.10300000000000001,0.298,85.15299999999999,3.34355,4,0
The First Edition,Just Dropped In (To See What Condition My Condition Was In),57.0,0.58,0.551,-9.898,0,0.0582,0.18100000000000002,0.00719,0.15,0.516,115.896,201213.0,4,10
Alka Yagnik,Aaye Ho Meri Zindagi Mein - Female Version,42.0,0.565,0.754,-11.636,0,0.0344,0.6779999999999999,0.0442,0.0756,0.922,135.01,6.05555,3,3
Bryan Adams,I Think About You,43.0,0.616,0.551,-7.27,1,0.0249,0.155,,0.099,0.618,75.027,216373.0,4,10
The Shins,Simple Song,62.0,0.546,0.878,-5.1370000000000005,1,0.0525,0.0133,,0.135,0.35,119.945,255400.0,4,1
benny blanco,Care (with Omar Apollo),50.0,0.618,0.215,-12.8,1,0.04,0.759,0.00962,0.109,0.214,90.00399999999999,290466.0,4,1
The 1975,She's American,57.0,0.639,0.8590000000000001,-3.923,1,0.0554,0.18,0.000499,0.0798,0.523,115.97,270104.0,4,10
Winger,Seventeen,60.0,0.5770000000000001,0.6759999999999999,-11.931,1,0.0295,0.000895,2.29e-06,0.0625,0.6759999999999999,95.98,245267.0,4,8
Townes Van Zandt,Waitin' Around To Die,52.0,0.551,0.233,-18.250999999999998,0,0.0312,0.71,0.000949,0.11,0.659,89.574,165187.0,4,6
Piers Faccini,Bring Down The Wall,28.0,0.45399999999999996,0.387,-10.158999999999999,0,0.0417,0.406,0.00099,0.0783,0.6859999999999999,97.995,205533.0,4,10
Athletic Progression,Stepney Tale,37.0,0.632,0.8,-7.227,0,0.23399999999999999,0.547,,0.147,0.496,92.757,209833.0,4,5
Thirty Seconds To Mars,Dangerous Night,56.0,0.295,0.715,-6.5329999999999995,1,0.0709,0.00212,1.55e-06,0.242,0.242,86.93700000000001,199773.0,4,10
Pete Rock & C.L. Smooth,Straighten It Out,50.0,0.77,0.6559999999999999,-11.169,0,0.24600000000000002,0.11,,0.0793,0.7879999999999999,98.82,253413.0,4,5
Peter Case,Bumble Bee,45.0,0.7170000000000001,0.245,-10.908,0,0.0493,0.665,0.00011899999999999999,0.385,0.502,83.554,214933.0,4,2
Menahan Street Band,Queens Highway,50.0,0.778,0.39899999999999997,-8.984,1,0.0858,0.0751,0.835,0.10300000000000001,0.321,137.305,67720.0,4,1
Butcher Babies,Sleeping with the Enemy,48.0,0.43799999999999994,0.951,-5.192,0,0.0736,4.6299999999999994e-05,0.233,0.35100000000000003,0.461,165.088,212927.0,4,8
MICROCORPS,DOR,10.0,0.451,0.7759999999999999,-11.755999999999998,0,0.0587,0.0518,0.703,0.11,0.609,177.953,331304.0,4,6
Sarah Palu,Ikivirta,38.0,0.617,0.375,-11.889000000000001,0,0.0319,0.742,0.513,0.109,0.11699999999999999,151.983,387547.0,4,1
Saltatio Mortis,Kaufmann und Maid,54.0,0.565,0.768,-5.332000000000001,0,0.0382,0.0277,,0.0725,0.58,124.006,223907.0,4,8
JADHU,Fling,32.0,0.62,0.835,-6.711,0,0.0319,0.273,0.00339,0.113,0.6990000000000001,99.022,225072.0,4,9
Bring Me The Horizon,Parasite Eve,69.0,0.589,0.797,-5.4639999999999995,1,0.15,0.0289,4.35e-06,0.38299999999999995,0.23199999999999998,102.48899999999999,291813.0,4,10
Frost*,Day and Age - Edit,38.0,0.44299999999999995,0.858,-6.935,1,0.0378,0.000843,0.00243,0.18,0.34,169.951,301533.0,4,8
Toto Espinoza,Frida Kahlo,41.0,0.605,0.162,-12.932,0,0.0353,0.98,0.899,0.10400000000000001,0.126,95.57600000000001,5.735216667,3,7
T-Bone Walker,Evil Hearted Woman - Alternate Take,30.0,0.624,0.26,-11.64,1,0.0621,0.904,0.0263,0.0825,0.551,51.0,156933.0,4,2
K. J. Yesudas,Do Din Ki Jawani - Adalat / Soundtrack Version,7.0,0.513,0.6579999999999999,-7.185,0,0.0622,0.512,,0.21,0.698,145.89600000000002,3.181333333,4,3
Jimi Hendrix,Purple Haze,71.0,0.5329999999999999,0.905,-5.27,1,0.0754,0.008759999999999999,0.578,0.0698,0.486,108.9,2.84688333,4,10
Eskiz,Aborjinin Türküsü,21.0,0.588,0.747,-6.064,1,0.0498,0.11599999999999999,7.2e-05,0.244,0.263,138.067,249000.0,4,10
Lowest Creature,Reapers Fool,23.0,0.48700000000000004,0.975,-4.974,1,0.105,7.47e-05,0.0183,0.201,0.526,139.964,202019.0,4,8
Tomer Yeshayahu,בלי לעזוב,30.0,0.621,0.375,-11.8,1,0.0297,0.701,1.2e-06,0.122,0.508,132.611,219625.0,4,9
Neon Trees,Animal,66.0,0.48200000000000004,0.8290000000000001,-5.5760000000000005,1,0.0437,0.00033999999999999997,,0.37799999999999995,0.7390000000000001,147.99,212307.0,4,10
JJ Lin,Bedroom (feat. Anne-Marie),69.0,0.369,0.424,-5.431,1,0.0318,0.64,,0.184,0.18100000000000002,179.597,203991.0,4,9
Foreign Air,Monsters,50.0,0.552,0.6729999999999999,-4.9,0,0.0298,0.005529999999999999,,0.114,0.174,89.993,224053.0,4,6
S. P. Balasubrahmanyam,Mere Rang Mein Rangne Wali,34.0,0.5479999999999999,0.34700000000000003,-14.7,0,0.0362,0.7709999999999999,0.00175,0.124,0.498,117.75,6.90355,4,3
Scary Kids Scaring Kids,Holding On,49.0,0.42100000000000004,0.935,-5.153,0,0.0697,0.000442,0.000212,0.1,0.455,165.02,261240.0,4,10
Lawrence of Arcadia,David Keenan,30.0,0.524,0.336,-8.033999999999999,1,0.0415,0.841,0.00118,0.111,0.45799999999999996,110.964,4.7578833330000005,5,0
Nirvana,In Bloom,65.0,0.436,0.8759999999999999,-4.902,0,0.0647,3.3299999999999996e-05,0.00010400000000000001,0.205,0.512,157.04399999999998,255080.0,4,1
Berry Sakharof,77' - Acoustic Live,17.0,0.5,0.47,-7.996,1,0.0345,0.642,0.0511,0.276,0.34600000000000003,158.809,268400.0,4,10
Breezie 311,Shots In The Dark,32.0,0.705,0.7559999999999999,-5.274,0,0.0415,0.00477,,0.0892,0.846,129.98,141875.0,4,10
Ghali,Combo (feat. Mr Eazi),41.0,0.825,0.7809999999999999,-4.732,0,0.107,0.0833,3.5499999999999996e-05,0.26,0.812,100.01299999999999,176012.0,4,9
Gwar,Sick of You,48.0,0.657,0.535,-9.715,1,0.047,0.00032900000000000003,0.000492,0.318,0.738,132.257,188830.0,4,8
Downset,Empower,42.0,0.58,0.93,-5.718999999999999,1,0.12,0.0128,,0.102,0.534,97.917,144267.0,4,8
Blue Material,Blue Blood,37.0,0.621,0.602,-7.796,0,0.0279,0.00031600000000000004,0.853,0.134,0.609,116.01100000000001,230152.0,4,6
Sempra,B Mine?,19.0,0.754,0.92,-4.484,0,0.05,0.183,0.6890000000000001,0.187,0.966,147.998,266133.0,4,1
Malcolm McLaren,Buffalo Gals,41.0,0.8809999999999999,0.636,-13.617,0,0.156,0.0257,0.00025699999999999996,0.207,0.616,108.863,259427.0,4,5
Arcade Fire,Ready to Start,58.0,0.282,0.932,-4.7010000000000005,1,0.0387,0.12,0.0335,0.0692,0.536,190.08,255893.0,4,10
Bad Nerves,Dreaming,32.0,0.449,0.958,-6.602,0,0.12300000000000001,5.33e-06,0.00011599999999999999,0.14800000000000002,0.389,107.458,129373.0,4,6
