Artist Name,Track Name,Popularity,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_in min/ms,time_signature,Genre_name
Arctic Monkeys,The View From The Afternoon,59.0,0.387,0.922,-5.192,0,0.0674,0.00487,,0.187,0.417,146.47799999999995,222947.0,4,Rock
Eyal Golan,קרובה אליי,34.0,0.585,0.381,-7.622000000000001,0,0.0463,0.435,,0.126,0.322,143.876,206875.0,4,Pop
"Harald Lassen, Bram de Looze",How it feels pt. 2,34.0,0.462,0.374,-12.069,0,0.0331,0.949,0.929,0.131,0.174,122.939,4.44025,3,Instrumental
Buffalo Springfield,For What It's Worth,76.0,0.653,0.519,-10.164,1,0.0497,0.406,0.0209,0.101,0.8220000000000001,98.883,153693.0,4,Rock
Elmore James,Madison Blues,37.0,0.431,0.852,-6.522,1,0.0431,0.564,0.208,0.254,0.794,67.601,146800.0,4,Blues
Dudu Aharon,לא יכול בלעדייך,14.0,0.713,0.939,-3.609,0,0.0372,0.11,5.88e-06,0.331,0.88,108.034,179320.0,4,Pop
Velvet Two Stripes,Drinks,31.0,0.564,0.8009999999999999,-4.73,0,0.0473,0.00233,0.0078,0.067,0.401,105.01,154293.0,4,Rock
Eden Ben Zaken,מנגינה,29.0,0.57,0.458,-5.935,0,0.0236,0.502,2.35e-06,0.134,0.19,93.088,217529.0,4,Pop
DaBaby,Baby Sitter (feat. Offset),70.0,0.852,0.73,-5.803,1,0.0579,0.0219,,0.336,0.394,92.506,157693.0,4,HipHop
Mura Masa,Teenage Headache Dreams (with Ellie Rowsell),48.0,0.34700000000000003,0.411,-8.071,1,0.0414,0.0181,0.636,0.0975,0.395,171.991,283013.0,4,Indie
Clairmont The Second,intres-ting,44.0,0.7959999999999999,0.441,-9.83,1,0.292,0.16,2.89e-05,0.118,0.371,158.105,137872.0,4,Alt
Krankhead,Cut Throat,29.0,0.805,0.448,-9.452,1,0.112,0.0602,1.79e-06,0.113,0.775,160.018,138000.0,4,HipHop
The Stone Roses,Driving South,44.0,0.472,0.947,-6.127999999999999,1,0.0774,9.43e-06,0.0155,0.364,0.75,98.784,309867.0,4,Rock
R3HAB,Whiplash - Acoustic,44.0,0.556,0.188,-12.161,1,0.0316,0.494,,0.119,0.184,138.091,145217.0,4,Pop
"IndianRaga, Akshay Anantapadmanabhan, Madhu Iyer, Sri Poornima Krishna Emani",Swagatham Krishna - Mohanam - Adi,,0.5479999999999999,0.711,-8.44,1,0.107,0.542,9.59e-05,0.355,0.618,119.675,4.015633333,3,AcousticFolk
MC Hammer,U Can't Touch This,73.0,0.867,0.517,-13.222,0,0.0875,0.00456,0.000339,0.0864,0.866,133.148,257360.0,4,Pop
duendita,Open Eyes,35.0,0.341,0.47,-10.144,1,0.037000000000000005,0.226,0.105,0.518,0.203,144.109,204280.0,4,Alt
Rainbow,Since You Been Gone,66.0,0.733,0.726,-6.5139999999999985,1,0.0371,0.379,2.58e-06,0.471,0.915,120.814,197160.0,4,Metal
fijitrip,Private Social Network,30.0,0.696,0.6609999999999999,-5.996,1,0.0877,0.00103,3.21e-05,0.114,0.397,121.032,180822.0,4,Indie
Machine Gun Kelly,love race (feat. Kellin Quinn),81.0,0.517,0.848,-4.0539999999999985,1,0.0521,0.00581,,0.214,0.429,95.906,188779.0,4,Pop
ShittyCT,Mahapecha Shel Simcha,4.0,0.4370000000000001,0.948,-4.287,0,0.092,0.000234,,0.0876,0.517,170.023,180293.0,4,Indie
Tetrarch,Negative Noise,49.0,0.384,0.974,-3.647,0,0.141,0.000153,0.00024700000000000004,0.226,0.155,194.842,247370.0,4,Metal
Dreezy,Where Them $ @,42.0,0.858,0.525,-7.332000000000002,1,0.14800000000000002,0.0443,0.0073799999999999985,0.197,0.35100000000000003,170.875,193962.0,4,HipHop
The Ayoub Sisters,Mother's Pride,16.0,0.297,0.0958,-20.316,1,0.0384,0.8440000000000001,0.855,0.126,0.29600000000000004,80.672,3.5037833330000003,4,Instrumental
Brandon Jack & The Artifacts,four days,29.0,0.516,0.948,-3.994,1,0.0644,0.0279,0.0564,0.15,0.957,170.08700000000005,130329.0,4,Alt
Moon Guitar,Struna,47.0,0.32,0.242,-15.17,1,0.0422,0.941,0.93,0.165,0.431,81.09,2.8176333330000003,4,Instrumental
Ivri Lider,נסיכה שלי,47.0,0.6609999999999999,0.407,-9.283,1,0.0412,0.713,,0.115,0.337,127.873,216695.0,4,Pop
Vieux Farka Touré,Bonheur,37.0,0.569,0.7509999999999999,-12.826,1,0.0418,0.365,0.856,0.0561,0.758,105.156,338292.0,4,Blues
Kvelertak,Crack of Doom (feat. Troy Sanders),44.0,0.35700000000000004,0.977,-6.489,0,0.124,1.6e-05,0.892,0.105,0.28,159.81,233929.0,4,Metal
Better Than Ezra,Good,63.0,0.615,0.657,-6.872999999999998,1,0.029,0.000372,0.0204,0.132,0.792,109.95,185093.0,4,Rock
Lior Narkis,חלקת אלוהים - השיר של אופיר,44.0,0.479,0.444,-6.497000000000001,1,0.0316,0.857,,0.141,0.236,107.915,174242.0,4,Pop
Silversun Pickups,Lazy Eye,65.0,0.633,0.831,-5.053,1,0.0461,0.0401,0.693,0.117,0.243,127.397,354360.0,4,Rock
Lilly Wood and The Prick,A Song,,0.618,0.438,-7.495,1,0.0762,0.407,,0.5,0.6509999999999999,155.014,209307.0,4,Indie
Orange Juice,Rip It Up,55.0,0.8809999999999999,0.546,-9.357,1,0.0407,0.0532,0.000149,0.0497,0.852,102.814,320413.0,4,Indie
U2,The Blackout,49.0,0.624,0.528,-9.103,0,0.0344,0.0286,0.0051600000000000005,0.0866,0.33,120.049,285933.0,4,Rock
Omer Adam,תגידי לי שטוב לך,37.0,0.607,0.503,-7.4060000000000015,1,0.0703,0.446,,0.173,0.473,135.606,205040.0,4,Pop
The Clash,The Magnificent Seven - Remastered,56.0,0.799,0.789,-8.208,1,0.0395,0.0595,,0.0338,0.831,116.083,333520.0,4,Rock
Victor Manu,Raphaela,47.0,0.494,0.0634,-19.203,1,0.044,0.984,0.926,0.11,0.15,78.227,3.014916667,4,Instrumental
The Last Shadow Puppets,Bad Habits,49.0,0.52,0.642,-7.546,1,0.0434,0.000517,0.0017,0.0794,0.449,88.96700000000001,180968.0,4,Rock
Anne-Marie,Our Song,48.0,0.595,0.759,-4.245,0,0.0423,0.141,,0.172,0.515,80.953,163733.0,4,Pop
How Lucky,"Kurt Vile, John Prine",,0.523,0.441,-9.928,1,0.0311,0.465,0.00268,0.365,0.49,171.24599999999995,3.385116667,4,AcousticFolk
Sly & The Family Stone,"I Want To Take You Higher - Live at The Woodstock Music & Art Fair, August 17, 1969",28.0,0.5660000000000001,0.943,-10.359000000000002,1,0.123,0.00488,0.34600000000000003,0.728,0.324,117.813,403027.0,4,Rock
Veruca Salt,Seether,47.0,0.612,0.86,-9.175,1,0.044,0.00253,0.00153,0.158,0.687,136.21200000000002,196467.0,4,Alt
Juice WRLD,Life's A Mess (feat. Halsey),77.0,0.63,0.446,-8.9,1,0.0351,0.337,,0.166,0.177,143.078,202193.0,4,HipHop
BENEE,C U,53.0,0.521,0.532,-11.492,0,0.0357,0.563,0.000435,0.386,0.326,95.19,180533.0,4,Pop
Berry Sakharof,נפתלי הדג,18.0,0.501,0.474,-13.893,1,0.0299,0.608,0.885,0.147,0.281,102.404,352267.0,4,Rock
Ganser,Self Service - Adam Faulkner / Girl Band Remix,9.0,0.185,0.865,-10.522,1,0.0576,0.0006320000000000001,0.807,0.112,0.0789,84.031,207465.0,3,Indie
Dion,Blues Comin’ On,34.0,0.532,0.685,-6.577000000000001,0,0.0318,0.0208,0.000154,0.303,0.648,140.036,288071.0,4,Blues
Nick Cave & The Bad Seeds,Deanna,41.0,0.415,0.94,-4.874,1,0.0889,0.0049,,0.14400000000000002,0.439,134.392,225627.0,4,Alt
Soen,Lotus,49.0,0.425,0.403,-9.343,0,0.0273,0.0792,0.0049,0.113,0.135,155.761,323931.0,4,Rock
Vani Jairam,Bole Re Papihara,20.0,0.373,0.7070000000000001,-9.566,0,0.0562,0.6679999999999999,3.68e-05,0.361,0.75,89.1,3.5788833330000003,4,Bollywood
Liam Gallagher,Once,59.0,0.39,0.6459999999999999,-3.961,1,0.0372,0.0904,,0.114,0.271,120.755,213677.0,4,Rock
The Pretty Things,She's a Lover,38.0,0.439,0.795,-9.424,1,0.0314,0.004070000000000001,0.00114,0.29600000000000004,0.789,84.846,212067.0,4,Indie
Tha Dogg Pound,"New York, New York",56.0,0.8270000000000001,0.532,-4.775,1,0.302,0.0219,2.9100000000000006e-05,0.127,0.6940000000000001,87.257,290440.0,4,HipHop
BLAB,Casual Sex,26.0,0.7090000000000001,0.685,-7.572999999999999,1,0.0281,0.0355,0.0268,0.0389,0.7,129.987,194567.0,4,Alt
Mighty Sam McClain,When the Hurt Is Over,41.0,0.583,0.14300000000000002,-15.786,1,0.14800000000000002,0.6759999999999999,2.84e-05,0.117,0.5329999999999999,156.009,371496.0,3,Blues
Trillary Banks,Last Man Standing,35.0,0.7040000000000001,0.579,-9.331,1,0.418,0.287,,0.139,0.7120000000000001,142.815,176667.0,4,HipHop
El Goodo,Feel so Fine,30.0,0.247,0.88,-3.057,1,0.097,2.01e-05,0.309,0.122,0.333,134.445,237493.0,4,Rock
Keb' Mo',The Medicine Man [Feat. Old Crow Medicine Show],54.0,0.8009999999999999,0.637,-6.4060000000000015,1,0.0565,0.16899999999999998,3.75e-05,0.0925,0.769,77.012,218360.0,4,Blues
Why Bonnie,Athlete,24.0,0.539,0.578,-8.522,1,0.0278,0.0987,0.000923,0.28,0.353,102.03,191890.0,4,Rock
Snoop Dogg,Beautiful,63.0,0.907,0.695,-6.268,0,0.135,0.246,,0.0808,0.961,101.007,298307.0,4,HipHop
MOD SUN,Stay Away (feat. Machine Gun Kelly & Goody Grace),68.0,0.667,0.636,-5.669,1,0.08199999999999999,0.022,,0.0908,0.152,158.058,151891.0,4,Rock
Turbo Knight,Rasengan,43.0,0.436,0.944,-7.981,1,0.0398,0.0035,0.972,0.105,0.588,110.002,307545.0,4,Indie
The Black Crowes,Sometimes Salvation,41.0,0.366,0.662,-4.914,1,0.034,0.0026100000000000003,,0.0594,0.362,148.34,284000.0,3,Rock
"Britney Spears, will.i.am",Big Fat Bass (feat. will.i.am),41.0,0.777,0.71,-4.717,1,0.0919,0.0295,,0.192,0.6729999999999999,129.945,4.747333333,4,Pop
Radiohead,Burn the Witch,57.0,0.54,0.847,-6.52,1,0.0297,0.303,0.272,0.109,0.62,148.936,220609.0,4,Rock
Oceans,Shark Tooth,42.0,0.435,0.889,-6.4620000000000015,0,0.0474,2.3800000000000006e-05,0.000872,0.87,0.344,93.896,198345.0,4,Metal
Arctic Monkeys,R U Mine?,79.0,0.28800000000000003,0.758,-5.692,0,0.0371,0.0061600000000000005,,0.303,0.619,97.094,201726.0,4,Rock
The Stranglers,Golden Brown,71.0,0.562,0.383,-15.474,1,0.0304,0.14300000000000002,0.124,0.138,0.599,93.764,206760.0,3,Rock
Itay Levi,השקט של שבת,33.0,0.6829999999999999,0.34700000000000003,-10.392,1,0.0473,0.5489999999999999,,0.0907,0.4370000000000001,80.009,157630.0,4,Pop
Joe Bonamassa,Cradle Rock,44.0,0.411,0.91,-4.867,1,0.0392,0.000243,0.00082,0.0931,0.613,106.675,230027.0,4,Rock
LeRoi Thirteen,Stand up and Shout (Cover),41.0,0.49,0.974,-4.295,1,0.115,0.000546,0.225,0.336,0.257,108.946,229617.0,4,Metal
Us The Duo,drivers license,55.0,0.374,0.35,-11.48,1,0.17600000000000002,0.843,,0.188,0.129,74.464,3.81156667,1,AcousticFolk
Keller Williams,Right Here,43.0,0.633,0.194,-14.543,1,0.0729,0.885,0.404,0.111,0.421,143.376,348383.0,4,Blues
Primal Scream,Movin' on Up,63.0,0.523,0.76,-12.437,1,0.0325,0.103,0.0006799999999999999,0.0666,0.581,94.267,228267.0,4,Rock
Lil Son Jackson,Upstairs Boogie,35.0,0.593,0.438,-13.451,0,0.028,0.883,0.0167,0.317,0.758,130.225,136560.0,3,Blues
Drake,Passionfruit,81.0,0.809,0.463,-11.377,1,0.0396,0.256,0.085,0.109,0.364,111.98,4.98235,4,Pop
Abstract Orchestra,New Day,45.0,0.748,0.411,-6.06,0,0.0489,0.0532,0.0117,0.115,0.339,91.941,145052.0,4,HipHop
Luther Allison,Soul Fixin' Man,13.0,0.529,0.595,-13.696,1,0.0375,0.0227,0.0266,0.0326,0.767,134.642,187827.0,4,Blues
Elena Falwell,Elegi For Cello,41.0,0.16699999999999998,0.14800000000000002,-19.539,1,0.0347,0.955,0.897,0.111,0.04,76.41199999999998,2.7204,3,Instrumental
Sharon Van Etten,Comeback Kid,51.0,0.5429999999999999,0.927,-5.209,1,0.0755,0.000342,0.5429999999999999,0.0327,0.354,120.097,182333.0,4,Rock
beabadoobee,"Don’t You (Forget About Me) - live from Abbey Road Studios, London",41.0,0.644,0.8909999999999999,-5.147,1,0.0526,0.00111,0.00798,0.118,0.504,110.007,239488.0,4,Rock
R.E.M.,Drive,62.0,0.467,0.4320000000000001,-11.753,1,0.0283,0.175,0.001,0.226,0.238,142.642,271333.0,4,Rock
FCG Heem,Shinin,44.0,0.514,0.387,-11.51,0,0.409,0.0753,,0.0485,0.461,84.11200000000002,186812.0,4,HipHop
The Beatles,She's Leaving Home - Remastered,,0.381,0.214,-11.629,1,0.0337,0.944,,0.106,0.393,127.581,3.5860000000000003,3,AcousticFolk
Tom The Mail Man,Taking Over,60.0,0.762,0.516,-8.016,0,0.0969,0.0288,,0.0966,0.721,156.97,158000.0,4,HipHop
ANSON,Ghost,28.0,0.35700000000000004,0.943,-6.167999999999998,0,0.101,0.000547,,0.145,0.482,147.217,209682.0,4,Rock
Jimmy Eat World,All The Way (Stay),38.0,0.5760000000000001,0.931,-2.491,1,0.0563,0.00085,,0.14300000000000002,0.735,133.986,245747.0,4,Rock
dempsey hope,picture perfect,3.0,0.61,0.482,-9.137,1,0.13699999999999998,0.299,,0.0527,0.8690000000000001,73.628,147013.0,4,Pop
Howie Lee,Birdy Island,24.0,0.491,0.504,-13.581,0,0.0566,0.625,0.794,0.222,0.145,159.911,258771.0,4,Indie
Pit Pony,Dutch Courage,25.0,0.117,0.916,-3.281,1,0.0723,1.39e-05,0.0992,0.219,0.423,151.886,270205.0,4,Alt
Niko B,Who's That What's That,63.0,0.86,0.6679999999999999,-8.512,1,0.221,0.423,1.85e-06,0.096,0.237,128.096,240000.0,4,Pop
Ruthi Navon,חשמל בכפות ידיך,22.0,0.7659999999999999,0.526,-11.819,1,0.0392,0.784,0.000214,0.0879,0.934,141.631,238000.0,4,Rock
Dan + Shay,Good Things,71.0,0.529,0.621,-6.018,1,0.0296,0.13,,0.173,0.617,97.189,2.48178333,4,Pop
Gossip,Standing In the Way of Control,55.0,0.6970000000000001,0.919,-6.174,1,0.029,0.006940000000000001,0.0621,0.203,0.943,118.341,256400.0,4,Indie
Gone Is Gone,Breaks,28.0,0.407,0.932,-6.252000000000002,1,0.113,0.00363,0.34600000000000003,0.229,0.173,102.954,235214.0,4,Metal
Violent Soho,Covered in Chrome,55.0,0.564,0.753,-5.223,1,0.0433,0.00512,2.43e-06,0.16699999999999998,0.414,152.064,212547.0,4,Rock
Mr. Oizo,Positif,44.0,0.7440000000000001,0.928,-5.627999999999999,0,0.0495,0.000409,0.624,0.132,0.507,123.014,171120.0,4,Indie
Cage The Elephant,Skin and Bones,65.0,0.539,0.7879999999999999,-3.227,0,0.0396,0.0089,,0.29,0.35700000000000004,159.986,196173.0,4,Rock
Carusella,Star Quality,11.0,0.431,0.967,-4.555,1,0.114,0.00159,0.0064,0.142,0.179,146.623,269440.0,4,Indie
Faith No More,Falling to Pieces,,0.545,0.919,-7.6789999999999985,1,0.0483,0.00269,0.00512,0.0978,0.386,104.364,313573.0,4,Rock
FLO,D's,66.0,0.266,0.294,-11.938,0,0.0291,0.7709999999999999,0.6970000000000001,0.107,0.0397,137.941,811077.0,3,Pop
Pathiena,The Deepest Of Sorrow,40.0,0.645,0.329,-16.642,1,0.0419,0.239,0.892,0.375,0.184,128.099,3.545833333,4,AcousticFolk
The Offspring,Coming for You,59.0,0.508,0.912,-1.798,1,0.0827,9.75e-05,1.25e-06,0.0669,0.5329999999999999,139.381,228587.0,4,Rock
Pain of Salvation,Meaningless,42.0,0.579,0.6609999999999999,-4.011,1,0.0422,0.0675,0.000373,0.303,0.374,144.909,287467.0,3,Rock
Lenny Kravitz,Stand By My Woman,,0.521,0.527,-6.371,1,0.0296,0.0931,0.0244,0.106,0.273,122.271,259627.0,4,Rock
Black Sabbath,Paranoid,16.0,0.426,0.619,-11.501,0,0.0722,8.44e-05,0.00239,0.17,0.382,162.721,2.80733333,4,Rock
The Dark Element,Songs the Night Sings,47.0,0.449,0.8540000000000001,-8.261000000000001,1,0.0431,4.620000000000001e-05,0.016,0.246,0.408,152.142,309827.0,4,Metal
Henry Gray,Let's Get High,19.0,0.698,0.609,-6.9929999999999986,1,0.0485,0.743,,0.188,0.665,131.05700000000002,232413.0,4,Blues
Eyal Golan,טעיתי,38.0,0.54,0.425,-9.577,0,0.0518,0.428,,0.218,0.239,88.04700000000003,220543.0,4,Pop
Noah Kahan,Young Blood - Acoustic,59.0,0.691,0.231,-10.512,1,0.0471,0.815,,0.103,0.298,85.15299999999998,3.34355,4,AcousticFolk
The First Edition,Just Dropped In (To See What Condition My Condition Was In),57.0,0.58,0.551,-9.898,0,0.0582,0.181,0.00719,0.15,0.516,115.896,201213.0,4,Rock
Alka Yagnik,Aaye Ho Meri Zindagi Mein - Female Version,42.0,0.565,0.754,-11.636,0,0.0344,0.6779999999999999,0.0442,0.0756,0.922,135.01,6.05555,3,Bollywood
Bryan Adams,I Think About You,43.0,0.616,0.551,-7.27,1,0.0249,0.155,,0.099,0.618,75.027,216373.0,4,Rock
The Shins,Simple Song,62.0,0.546,0.878,-5.1370000000000005,1,0.0525,0.0133,,0.135,0.35,119.945,255400.0,4,Alt
benny blanco,Care (with Omar Apollo),50.0,0.618,0.215,-12.8,1,0.04,0.759,0.00962,0.109,0.214,90.00399999999998,290466.0,4,Alt
The 1975,She's American,57.0,0.639,0.8590000000000001,-3.923,1,0.0554,0.18,0.000499,0.0798,0.523,115.97,270104.0,4,Rock
Winger,Seventeen,60.0,0.5770000000000001,0.6759999999999999,-11.931,1,0.0295,0.000895,2.29e-06,0.0625,0.6759999999999999,95.98,245267.0,4,Metal
Townes Van Zandt,Waitin' Around To Die,52.0,0.551,0.233,-18.251,0,0.0312,0.71,0.000949,0.11,0.659,89.574,165187.0,4,Indie
Piers Faccini,Bring Down The Wall,28.0,0.454,0.387,-10.159,0,0.0417,0.406,0.00099,0.0783,0.6859999999999999,97.995,205533.0,4,Rock
Athletic Progression,Stepney Tale,37.0,0.632,0.8,-7.227,0,0.234,0.547,,0.147,0.496,92.757,209833.0,4,HipHop
Thirty Seconds To Mars,Dangerous Night,56.0,0.295,0.715,-6.533,1,0.0709,0.00212,1.55e-06,0.242,0.242,86.93700000000003,199773.0,4,Rock
Pete Rock & C.L. Smooth,Straighten It Out,50.0,0.77,0.6559999999999999,-11.169,0,0.246,0.11,,0.0793,0.7879999999999999,98.82,253413.0,4,HipHop
Peter Case,Bumble Bee,45.0,0.7170000000000001,0.245,-10.908,0,0.0493,0.665,0.000119,0.385,0.502,83.554,214933.0,4,Blues
Menahan Street Band,Queens Highway,50.0,0.778,0.399,-8.984,1,0.0858,0.0751,0.835,0.103,0.321,137.305,67720.0,4,Alt
Butcher Babies,Sleeping with the Enemy,48.0,0.438,0.951,-5.192,0,0.0736,4.63e-05,0.233,0.35100000000000003,0.461,165.088,212927.0,4,Metal
MICROCORPS,DOR,10.0,0.451,0.7759999999999999,-11.755999999999998,0,0.0587,0.0518,0.703,0.11,0.609,177.953,331304.0,4,Indie
Sarah Palu,Ikivirta,38.0,0.617,0.375,-11.889,0,0.0319,0.742,0.513,0.109,0.117,151.983,387547.0,4,Alt
Saltatio Mortis,Kaufmann und Maid,54.0,0.565,0.768,-5.332000000000002,0,0.0382,0.0277,,0.0725,0.58,124.006,223907.0,4,Metal
JADHU,Fling,32.0,0.62,0.835,-6.711,0,0.0319,0.273,0.00339,0.113,0.6990000000000001,99.022,225072.0,4,Pop
Bring Me The Horizon,Parasite Eve,69.0,0.589,0.797,-5.464,1,0.15,0.0289,4.35e-06,0.383,0.232,102.489,291813.0,4,Rock
Frost*,Day and Age - Edit,38.0,0.443,0.858,-6.935,1,0.0378,0.000843,0.00243,0.18,0.34,169.951,301533.0,4,Metal
Toto Espinoza,Frida Kahlo,41.0,0.605,0.162,-12.932,0,0.0353,0.98,0.899,0.104,0.126,95.576,5.735216667,3,Instrumental
T-Bone Walker,Evil Hearted Woman - Alternate Take,30.0,0.624,0.26,-11.64,1,0.0621,0.904,0.0263,0.0825,0.551,51.0,156933.0,4,Blues
K. J. Yesudas,Do Din Ki Jawani - Adalat / Soundtrack Version,7.0,0.513,0.6579999999999999,-7.185,0,0.0622,0.512,,0.21,0.698,145.89600000000004,3.181333333,4,Bollywood
Jimi Hendrix,Purple Haze,71.0,0.5329999999999999,0.905,-5.27,1,0.0754,0.008759999999999999,0.578,0.0698,0.486,108.9,2.84688333,4,Rock
Eskiz,Aborjinin Türküsü,21.0,0.588,0.747,-6.064,1,0.0498,0.116,7.2e-05,0.244,0.263,138.067,249000.0,4,Rock
Lowest Creature,Reapers Fool,23.0,0.487,0.975,-4.974,1,0.105,7.47e-05,0.0183,0.201,0.526,139.964,202019.0,4,Metal
Tomer Yeshayahu,בלי לעזוב,30.0,0.621,0.375,-11.8,1,0.0297,0.701,1.2e-06,0.122,0.508,132.611,219625.0,4,Pop
Neon Trees,Animal,66.0,0.482,0.8290000000000001,-5.5760000000000005,1,0.0437,0.00034,,0.378,0.7390000000000001,147.99,212307.0,4,Rock
JJ Lin,Bedroom (feat. Anne-Marie),69.0,0.369,0.424,-5.431,1,0.0318,0.64,,0.184,0.181,179.597,203991.0,4,Pop
Foreign Air,Monsters,50.0,0.552,0.6729999999999999,-4.9,0,0.0298,0.005529999999999999,,0.114,0.174,89.993,224053.0,4,Indie
S. P. Balasubrahmanyam,Mere Rang Mein Rangne Wali,34.0,0.5479999999999999,0.34700000000000003,-14.7,0,0.0362,0.7709999999999999,0.00175,0.124,0.498,117.75,6.90355,4,Bollywood
Scary Kids Scaring Kids,Holding On,49.0,0.421,0.935,-5.153,0,0.0697,0.000442,0.000212,0.1,0.455,165.02,261240.0,4,Rock
Lawrence of Arcadia,David Keenan,30.0,0.524,0.336,-8.033999999999999,1,0.0415,0.841,0.00118,0.111,0.458,110.964,4.7578833330000005,5,AcousticFolk
Nirvana,In Bloom,65.0,0.436,0.8759999999999999,-4.902,0,0.0647,3.33e-05,0.000104,0.205,0.512,157.04399999999995,255080.0,4,Alt
Berry Sakharof,77' - Acoustic Live,17.0,0.5,0.47,-7.996,1,0.0345,0.642,0.0511,0.276,0.34600000000000003,158.809,268400.0,4,Rock
Breezie 311,Shots In The Dark,32.0,0.705,0.7559999999999999,-5.274,0,0.0415,0.00477,,0.0892,0.846,129.98,141875.0,4,Rock
Ghali,Combo (feat. Mr Eazi),41.0,0.825,0.7809999999999999,-4.732,0,0.107,0.0833,3.55e-05,0.26,0.812,100.013,176012.0,4,Pop
Gwar,Sick of You,48.0,0.657,0.535,-9.715,1,0.047,0.00032900000000000003,0.000492,0.318,0.738,132.257,188830.0,4,Metal
Downset,Empower,42.0,0.58,0.93,-5.7189999999999985,1,0.12,0.0128,,0.102,0.534,97.917,144267.0,4,Metal
Blue Material,Blue Blood,37.0,0.621,0.602,-7.796,0,0.0279,0.00031600000000000004,0.853,0.134,0.609,116.011,230152.0,4,Indie
Sempra,B Mine?,19.0,0.754,0.92,-4.484,0,0.05,0.183,0.6890000000000001,0.187,0.966,147.998,266133.0,4,Alt
Malcolm McLaren,Buffalo Gals,41.0,0.8809999999999999,0.636,-13.617,0,0.156,0.0257,0.000257,0.207,0.616,108.863,259427.0,4,HipHop
Arcade Fire,Ready to Start,58.0,0.282,0.932,-4.7010000000000005,1,0.0387,0.12,0.0335,0.0692,0.536,190.08,255893.0,4,Rock
Bad Nerves,Dreaming,32.0,0.449,0.958,-6.602,0,0.123,5.33e-06,0.000116,0.14800000000000002,0.389,107.458,129373.0,4,Indie
3 Doors Down,Your Arms Feel Like home,37.0,0.5479999999999999,0.7090000000000001,-6.557,0,0.0273,0.00678,3.82e-06,0.104,0.191,119.998,224213.0,4,Rock
ARXX,Deep,33.0,0.65,0.6,-10.615,0,0.04,0.0278,0.00121,0.8109999999999999,0.795,110.016,180203.0,4,Rock
Crown Lands,Howlin' Back Again,39.0,0.494,0.969,-2.694,1,0.222,0.172,0.00158,0.14800000000000002,0.165,121.214,169808.0,4,Rock
The Undercover Dream Lovers,Get to You,42.0,0.7609999999999999,0.7070000000000001,-6.207999999999998,0,0.0356,0.68,0.421,0.0969,0.893,113.976,208421.0,4,Indie
